date,Date,Open,Close,High,Low,Volume,Code
2018-03-09,2018-03-09,12.957,11.898,12.006,11.79,943876.0,000001
2018-03-12,2018-03-12,12.957,11.839,11.977,11.76,1268701.0,000001
2018-03-13,2018-03-13,12.849,11.829,12.026,11.809,1082267.0,000001
2018-03-14,2018-03-14,12.79,11.731,11.809,11.642,635594.0,000001
2018-03-15,2018-03-15,12.603,11.524,11.662,11.475,1155694.0,000001
2018-03-16,2018-03-16,12.534,11.455,11.662,11.455,962983.0,000001
2018-03-19,2018-03-19,12.475,11.642,11.652,11.425,808538.0,000001
2018-03-20,2018-03-20,12.553,11.632,11.691,11.534,776150.0,000001
2018-03-21,2018-03-21,12.76,11.711,11.927,11.662,1445109.0,000001
2018-03-22,2018-03-22,12.711,11.475,11.78,11.435,984278.0,000001
2018-03-23,2018-03-23,12.071,11.16,11.17,10.746,1825690.0,000001
2018-03-26,2018-03-26,11.973,10.756,11.022,10.687,1383598.0,000001
2018-03-27,2018-03-27,11.924,10.766,10.992,10.687,1103933.0,000001
2018-03-28,2018-03-28,11.678,10.717,10.963,10.618,1099023.0,000001
2018-03-29,2018-03-29,11.746,10.874,10.992,10.382,1330602.0,000001
2018-03-30,2018-03-30,11.865,10.727,10.874,10.707,752173.0,000001
2018-04-02,2018-04-02,11.697,10.54,10.815,10.53,1109316.0,000001
2018-04-03,2018-04-03,11.432,10.392,10.5,10.343,890745.0,000001
2018-04-04,2018-04-04,11.51,10.697,10.835,10.432,1602488.0,000001
2018-04-09,2018-04-09,11.628,10.845,10.924,10.559,1074795.0,000001
2018-04-10,2018-04-10,11.845,11.238,11.278,10.796,1390950.0,000001
2018-04-11,2018-04-11,12.209,11.642,11.731,11.199,2095970.0,000001
2018-04-12,2018-04-12,12.612,11.337,11.642,11.238,1173128.0,000001
2018-04-13,2018-04-13,12.455,11.386,11.603,11.268,1300255.0,000001
2018-04-16,2018-04-16,12.288,10.924,11.288,10.855,1427072.0,000001
2018-04-17,2018-04-17,11.943,11.032,11.268,10.933,1301891.0,000001
2018-04-18,2018-04-18,12.268,11.317,11.425,11.101,1475845.0,000001
2018-04-19,2018-04-19,12.337,11.288,11.504,11.238,849131.0,000001
2018-04-20,2018-04-20,12.327,11.17,11.396,11.022,958690.0,000001
2018-04-23,2018-04-23,12.12,11.386,11.425,11.081,1070289.0,000001
2018-04-24,2018-04-24,12.445,11.671,11.75,11.396,1461098.0,000001
2018-04-25,2018-04-25,12.573,11.494,11.622,11.445,730286.0,000001
2018-04-26,2018-04-26,12.475,11.238,11.504,11.13,874235.0,000001
2018-04-27,2018-04-27,12.307,10.678,11.327,10.461,2709795.0,000001
2018-05-02,2018-05-02,11.796,10.707,10.855,10.628,1190523.0,000001
2018-05-03,2018-05-03,11.687,10.579,10.707,10.402,1281355.0,000001
2018-05-04,2018-05-04,11.559,10.51,10.658,10.491,710509.0,000001
2018-05-07,2018-05-07,11.53,10.638,10.658,10.471,974309.0,000001
2018-05-08,2018-05-08,11.658,10.835,10.973,10.628,1373305.0,000001
2018-05-09,2018-05-09,11.805,10.796,10.855,10.707,627656.0,000001
2018-05-10,2018-05-10,11.855,10.835,10.914,10.737,552735.0,000001
2018-05-11,2018-05-11,11.865,10.835,10.953,10.786,772369.0,000001
2018-05-14,2018-05-14,11.914,11.002,11.051,10.855,1039297.0,000001
2018-05-15,2018-05-15,12.002,10.943,11.012,10.845,669261.0,000001
2018-05-16,2018-05-16,11.894,10.727,10.894,10.717,714362.0,000001
2018-05-17,2018-05-17,11.737,10.648,10.766,10.609,586494.0,000001
2018-05-18,2018-05-18,11.638,10.786,10.796,10.589,578384.0,000001
2018-05-21,2018-05-21,11.894,10.776,10.933,10.756,763533.0,000001
2018-05-22,2018-05-22,11.776,10.687,10.805,10.618,589871.0,000001
2018-05-23,2018-05-23,11.648,10.481,10.648,10.451,991016.0,000001
2018-05-24,2018-05-24,11.491,10.441,10.51,10.412,688152.0,000001
2018-05-25,2018-05-25,11.441,10.422,10.5,10.382,593335.0,000001
2018-05-28,2018-05-28,11.412,10.422,10.491,10.343,569400.0,000001
2018-05-29,2018-05-29,11.412,10.215,10.461,10.185,889494.0,000001
2018-05-30,2018-05-30,11.126,9.92,10.126,9.89,1124447.0,000001
2018-05-31,2018-05-31,10.949,10.018,10.028,9.861,987360.0,000001
2018-06-01,2018-06-01,10.989,10.028,10.126,9.91,597211.0,000001
2018-06-04,2018-06-04,11.067,10.107,10.146,9.989,593038.0,000001
2018-06-05,2018-06-05,11.126,10.097,10.136,9.949,656540.0,000001
2018-06-06,2018-06-06,11.087,9.979,10.097,9.939,712743.0,000001
2018-06-07,2018-06-07,11.038,10.205,10.294,10.018,1262638.0,000001
2018-06-08,2018-06-08,11.166,9.959,10.166,9.9,1099379.0,000001
2018-06-11,2018-06-11,10.9,9.88,9.969,9.841,721374.0,000001
2018-06-12,2018-06-12,10.871,9.9,9.92,9.792,913300.0,000001
2018-06-13,2018-06-13,10.88,9.792,9.9,9.792,530584.0,000001
2018-06-14,2018-06-14,10.792,9.91,9.989,9.762,866392.0,000001
2018-06-15,2018-06-15,10.92,10.008,10.126,9.9,1248707.0,000001
2018-06-19,2018-06-19,10.89,9.713,9.989,9.664,1565874.0,000001
2018-06-20,2018-06-20,10.713,9.752,9.792,9.605,763637.0,000001
2018-06-21,2018-06-21,10.772,9.703,9.88,9.703,840070.0,000001
2018-06-22,2018-06-22,10.644,9.693,9.713,9.615,657818.0,000001
2018-06-25,2018-06-25,10.752,9.31,9.762,9.231,1195212.0,000001
2018-06-26,2018-06-26,10.241,9.211,9.29,8.946,1124156.0,000001
2018-06-27,2018-06-27,10.162,8.946,9.251,8.886,1045142.0,000001
2018-06-28,2018-06-28,9.808,8.778,8.936,8.729,1110764.0,000001
2018-06-29,2018-06-29,9.867,8.946,8.985,8.818,675299.0,000001
2018-07-02,2018-07-02,9.906,8.473,8.906,8.414,1315520.0,000001
2018-07-03,2018-07-03,9.552,8.532,8.562,8.316,1274838.0,000001
2018-07-04,2018-07-04,9.493,8.473,8.611,8.473,711153.0,000001
2018-07-05,2018-07-05,9.483,8.463,8.591,8.414,835768.0,000001
2018-07-06,2018-07-06,9.473,8.522,8.64,8.316,988282.0,000001
2018-07-09,2018-07-09,9.552,8.886,8.886,8.542,1409954.0,000001
2018-07-10,2018-07-10,9.877,8.837,8.877,8.749,896862.0,000001
2018-07-11,2018-07-11,9.621,8.64,8.69,8.542,851296.0,000001
2018-07-12,2018-07-12,9.6,8.88,8.97,8.58,1140492.0,000001
2018-07-13,2018-07-13,9.92,8.88,8.94,8.82,603378.0,000001
2018-07-16,2018-07-16,9.85,8.73,8.9,8.69,689845.0,000001
2018-07-17,2018-07-17,9.74,8.72,8.75,8.66,375356.0,000001
2018-07-18,2018-07-18,9.75,8.7,8.85,8.69,525152.0,000001
2018-07-19,2018-07-19,9.75,8.73,8.81,8.69,461372.0,000001
2018-07-20,2018-07-20,9.73,9.11,9.2,8.61,1754277.0,000001
2018-07-23,2018-07-23,10.04,9.42,9.45,9.0,1781688.0,000001
2018-07-24,2018-07-24,10.39,9.4,9.59,9.33,1425894.0,000001
2018-07-25,2018-07-25,10.44,9.38,9.47,9.33,614122.0,000001
2018-07-26,2018-07-26,10.4,9.25,9.48,9.21,833358.0,000001
2018-07-27,2018-07-27,10.3,9.25,9.36,9.18,515126.0,000001
2018-07-30,2018-07-30,10.32,9.39,9.49,9.26,706385.0,000001
2018-07-31,2018-07-31,10.37,9.42,9.49,9.25,720150.0,000001
2018-08-01,2018-08-01,10.42,9.15,9.5,9.11,814081.0,000001
2018-08-02,2018-08-02,10.13,8.94,9.15,8.88,931401.0,000001
2018-08-03,2018-08-03,9.93,8.91,9.1,8.91,476546.0,000001
2018-08-06,2018-08-06,9.94,8.94,9.11,8.89,554010.0,000001
2018-08-07,2018-08-07,9.96,9.17,9.17,8.88,690423.0,000001
2018-08-08,2018-08-08,10.16,9.05,9.16,9.04,578953.0,000001
2018-08-09,2018-08-09,10.04,9.29,9.35,9.02,806783.0,000001
2018-08-10,2018-08-10,10.3,9.23,9.32,9.16,424168.0,000001
2018-08-13,2018-08-13,10.12,9.05,9.16,8.9,818491.0,000001
2018-08-14,2018-08-14,10.03,9.0,9.04,8.94,430240.0,000001
2018-08-15,2018-08-15,10.02,8.79,9.02,8.75,670442.0,000001
2018-08-16,2018-08-16,9.73,8.78,8.89,8.64,638272.0,000001
2018-08-17,2018-08-17,9.88,8.81,8.94,8.78,649476.0,000001
2018-08-20,2018-08-20,9.9,9.0,9.02,8.87,681322.0,000001
2018-08-21,2018-08-21,10.02,9.23,9.26,9.01,1264474.0,000001
2018-08-22,2018-08-22,10.24,9.29,9.34,9.13,982433.0,000001
2018-08-23,2018-08-23,10.3,9.36,9.42,9.23,729074.0,000001
2018-08-24,2018-08-24,10.31,10.03,10.28,9.29,3040408.0,000001
2018-08-27,2018-08-27,11.02,10.43,10.43,9.97,2218424.0,000001
2018-08-28,2018-08-28,11.34,10.29,10.43,10.24,1289777.0,000001
2018-08-29,2018-08-29,11.25,10.27,10.33,10.15,901883.0,000001
2018-08-30,2018-08-30,11.27,10.12,10.35,10.08,994917.0,000001
2018-08-31,2018-08-31,11.13,10.13,10.32,10.1,1310865.0,000001
2018-09-03,2018-09-03,11.09,10.19,10.3,10.09,711695.0,000001
2018-09-04,2018-09-04,11.2,10.43,10.55,10.07,1296342.0,000001
2018-09-05,2018-09-05,11.3,10.05,10.33,10.05,1179453.0,000001
2018-09-06,2018-09-06,11.05,9.97,10.14,9.95,711777.0,000001
2018-09-07,2018-09-07,11.04,10.01,10.18,9.93,809035.0,000001
2018-09-10,2018-09-10,11.01,9.88,10.07,9.84,636989.0,000001
2018-09-11,2018-09-11,10.9,9.91,10.03,9.81,712967.0,000001
2018-09-12,2018-09-12,10.87,9.88,9.97,9.82,564829.0,000001
2018-09-13,2018-09-13,11.09,9.96,10.1,9.84,999725.0,000001
2018-09-14,2018-09-14,10.98,9.84,9.98,9.81,619750.0,000001
2018-09-17,2018-09-17,10.8,9.69,9.8,9.68,517082.0,000001
2018-09-18,2018-09-18,10.73,10.08,10.12,9.7,1126807.0,000001
2018-09-19,2018-09-19,11.03,10.24,10.34,10.03,1231548.0,000001
2018-09-20,2018-09-20,11.27,10.23,10.36,10.19,620348.0,000001
2018-09-21,2018-09-21,11.26,10.67,10.7,10.18,1624518.0,000001
2018-09-25,2018-09-25,11.52,10.55,10.68,10.48,977014.0,000001
2018-09-26,2018-09-26,11.61,10.71,10.92,10.52,1490513.0,000001
2018-09-27,2018-09-27,11.65,10.74,10.84,10.57,880363.0,000001
2018-09-28,2018-09-28,11.78,11.05,11.27,10.78,2110242.0,000001
2018-10-08,2018-10-08,11.7,10.45,10.79,10.45,1686358.0,000001
2018-10-09,2018-10-09,11.46,10.56,10.7,10.39,1064084.0,000001
2018-10-10,2018-10-10,11.54,10.45,10.66,10.38,995200.0,000001
2018-10-11,2018-10-11,11.05,9.86,10.16,9.7,1995143.0,000001
2018-10-12,2018-10-12,10.97,10.3,10.34,9.87,1516810.0,000001
2018-10-15,2018-10-15,11.39,10.11,10.47,10.09,1402685.0,000001
2018-10-16,2018-10-16,11.14,10.37,10.54,10.12,1396921.0,000001
2018-10-17,2018-10-17,11.5,10.33,10.55,10.14,1350889.0,000001
2018-10-18,2018-10-18,11.29,10.09,10.29,10.06,1001156.0,000001
2018-10-19,2018-10-19,10.95,10.76,10.78,9.92,2083667.0,000001
2018-10-22,2018-10-22,11.81,11.15,11.46,10.78,2645543.0,000001
2018-10-23,2018-10-23,12.2,10.84,11.22,10.73,1602545.0,000001
2018-10-24,2018-10-24,11.9,11.04,11.33,10.8,1829424.0,000001
2018-10-25,2018-10-25,11.8,11.29,11.29,10.71,1685011.0,000001
2018-10-26,2018-10-26,12.29,11.18,11.31,10.96,1299975.0,000001
2018-10-29,2018-10-29,12.2,10.75,11.24,10.62,1591628.0,000001
2018-10-30,2018-10-30,11.78,10.9,11.08,10.73,1501827.0,000001
2018-10-31,2018-10-31,11.95,10.91,10.99,10.75,1152683.0,000001
2018-11-01,2018-11-01,11.99,10.83,11.05,10.76,1542776.0,000001
2018-11-02,2018-11-02,12.04,11.09,11.16,10.83,2212922.0,000001
2018-11-05,2018-11-05,11.95,10.92,11.04,10.82,1291924.0,000001
2018-11-06,2018-11-06,11.87,10.84,10.93,10.73,735725.0,000001
2018-11-07,2018-11-07,11.83,10.81,10.95,10.75,785597.0,000001
2018-11-08,2018-11-08,11.88,10.89,10.97,10.82,793976.0,000001
2018-11-09,2018-11-09,11.71,10.55,10.73,10.4,1629269.0,000001
2018-11-12,2018-11-12,11.46,10.56,10.58,10.38,920333.0,000001
2018-11-13,2018-11-13,11.41,10.54,10.65,10.38,1072497.0,000001
2018-11-14,2018-11-14,11.53,10.44,10.55,10.42,774239.0,000001
2018-11-15,2018-11-15,11.44,10.62,10.64,10.42,901461.0,000001
2018-11-16,2018-11-16,11.61,10.57,10.72,10.49,1059592.0,000001
2018-11-19,2018-11-19,11.57,10.85,10.88,10.57,1360887.0,000001
2018-11-20,2018-11-20,11.75,10.57,10.8,10.52,1033877.0,000001
2018-11-21,2018-11-21,11.5,10.61,10.67,10.48,666157.0,000001
2018-11-22,2018-11-22,11.67,10.55,10.67,10.48,500267.0,000001
2018-11-23,2018-11-23,11.53,10.32,10.58,10.31,700358.0,000001
2018-11-26,2018-11-26,11.34,10.34,10.46,10.3,516569.0,000001
2018-11-27,2018-11-27,11.35,10.18,10.39,10.16,733448.0,000001
2018-11-28,2018-11-28,11.17,10.28,10.31,10.16,537751.0,000001
2018-11-29,2018-11-29,11.35,10.2,10.39,10.19,485284.0,000001
2018-11-30,2018-11-30,11.22,10.36,10.36,10.17,594715.0,000001
2018-12-03,2018-12-03,11.59,10.59,10.66,10.47,1064097.0,000001
2018-12-04,2018-12-04,11.57,10.59,10.62,10.53,534813.0,000001
2018-12-05,2018-12-05,11.49,10.45,10.51,10.4,581545.0,000001
2018-12-06,2018-12-06,11.36,10.25,10.37,10.23,578866.0,000001
